n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
31.00,82.98,2269.56,101.09,509.38,817.28,6.79,31.53,5.22,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.35,%sSafe
32.00,36.09,2269.56,101.09,509.98,817.20,6.82,31.53,5.89,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.39,%sSafe
33.00,77.24,2269.56,101.09,509.98,817.20,6.82,32.93,5.89,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.47,%sSafe
34.00,61.86,2269.18,101.59,510.49,817.15,6.80,32.24,5.39,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.53,%sSafe
35.00,59.76,2269.40,101.62,510.03,817.32,7.10,32.24,5.39,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.76,31232.59,%sSafe
36.00,59.54,2268.77,102.09,510.03,817.32,7.10,32.35,6.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31232.65,%sSafe
37.00,35.06,2268.77,102.09,510.67,816.99,6.88,32.52,5.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31232.68,%sSafe
38.00,41.52,2268.77,102.09,510.67,816.99,6.88,32.52,5.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.73,31232.72,%sSafe
39.00,39.17,2268.75,101.35,509.96,817.42,6.88,32.52,5.98,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.73,31232.76,%sSafe
40.00,41.74,2268.75,101.35,509.96,817.42,6.77,32.52,5.45,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.73,31232.80,%sSafe
41.00,60.74,2268.75,101.35,509.96,817.42,6.77,32.23,5.45,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.86,%sSafe
42.00,66.93,2268.85,101.65,509.12,817.55,6.81,32.52,5.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31232.93,%sSafe
43.00,63.41,2269.22,101.49,509.78,817.23,7.06,32.52,5.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31233.00,%sSafe
