Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State
2038,30.71,1913.56,106.15,540.45,697.12,674.56,677.85,9.93,0,0,0,0,0,1,1,0,0,6.21,-0.13,8782.9,%sOxidizer Fill Confirmation
2039,30.77,1913.56,106.15,540.45,697.12,674.41,677.57,9.93,0,0,0,0,0,1,1,0,0,6.21,-0.13,8782.93,%sOxidizer Fill Confirmation
2040,23.99,1913.56,106.15,540.45,697.12,674.41,677.57,9.26,0,0,0,0,0,1,1,0,0,6.21,-0.14,8782.96,%sOxidizer Fill Confirmation
2041,28.54,1913.56,106.15,540.45,697.12,674.41,677.57,9.26,0,0,0,0,0,1,1,0,0,6.22,-0.14,8782.98,%sOxidizer Fill Confirmation
2042,25.23,1914.09,106.53,540.7,697.12,674.41,677.57,9.26,0,0,0,0,0,1,1,0,0,6.22,-0.14,8783.01,%sOxidizer Fill Confirmation
2043,27.72,1914.09,106.53,540.7,697.65,674.44,677.57,9.26,0,0,0,0,0,1,1,0,0,6.22,-0.14,8783.04,%sOxidizer Fill Confirmation
2044,37.55,1914.09,106.53,540.7,697.65,674.44,677.4,8.67,0,0,0,0,0,1,1,0,0,6.22,-0.14,8783.08,%sOxidizer Fill Confirmation
2045,23.88,1914.09,106.53,540.7,697.65,674.44,677.4,8.67,0,0,0,0,0,1,1,0,0,6.23,-0.15,8783.1,%sOxidizer Fill Confirmation
2046,25.25,1914.69,106.74,540.7,697.65,674.44,677.4,8.67,0,0,0,0,0,1,1,0,0,6.23,-0.15,8783.12,%sOxidizer Fill Confirmation
2047,27.57,1914.69,106.74,540.88,698.11,674.51,677.38,8.67,0,0,0,0,0,1,1,0,0,6.23,-0.15,8783.15,%sOxidizer Fill Confirmation
2048,28.67,1914.69,106.74,540.88,698.11,674.51,677.38,8.26,0,0,0,0,0,1,1,0,0,6.23,-0.15,8783.18,%sOxidizer Fill Confirmation
2049,25.14,1914.69,106.74,540.88,698.11,674.51,677.38,8.26,0,0,0,0,0,1,1,0,0,6.24,-0.15,8783.21,%sOxidizer Fill Confirmation
2050,22.69,1915.36,106.74,540.88,698.11,674.51,677.38,8.26,0,0,0,0,0,1,1,0,0,6.24,-0.15,8783.23,%sOxidizer Fill Confirmation
2051,24.13,1915.36,106.97,540.72,698.35,675.18,677.96,8.26,0,0,0,0,0,1,1,0,0,6.24,-0.15,8783.25,%sOxidizer Fill Confirmation
2052,26.68,1915.36,106.97,540.72,698.35,675.18,677.96,8.26,0,0,0,0,0,1,1,0,0,6.24,-0.15,8783.28,%sOxidizer Fill Confirmation
2053,22.27,1915.36,106.97,540.72,698.35,675.18,677.96,8.26,0,0,0,0,0,1,1,0,0,6.25,-0.15,8783.3,%sOxidizer Fill Confirmation
2054,24.13,1915.08,106.95,540.72,698.35,675.18,677.96,8.26,0,0,0,0,0,1,1,0,0,6.25,-0.15,8783.33,%sOxidizer Fill Confirmation
2055,25.39,1915.08,106.95,540.58,698.8,675.18,677.96,8.26,0,0,0,0,0,1,1,0,0,6.25,-0.15,8783.35,%sOxidizer Fill Confirmation
2056,26,1915.08,106.95,540.58,698.8,675.96,679.24,8.93,0,0,0,0,0,1,1,0,0,6.25,-0.15,8783.38,%sOxidizer Fill Confirmation
2057,29.8,1915.12,106.95,540.58,698.8,675.96,679.24,8.93,0,0,0,0,0,1,1,0,0,6.27,-0.15,8783.41,%sOxidizer Fill Confirmation
2058,24.76,1915.12,106.85,540.58,698.8,675.96,679.24,8.93,0,0,0,0,0,1,1,0,0,6.27,-0.15,8783.43,%sOxidizer Fill Confirmation
2059,26.23,1915.12,106.85,540.48,699.27,676.62,680.16,8.93,0,0,0,0,0,1,1,0,0,6.27,-0.15,8783.46,%sOxidizer Fill Confirmation
2060,25.33,1915.12,106.85,540.48,699.27,676.62,680.16,9.35,0,0,0,0,0,1,1,0,0,6.27,-0.13,8783.48,%sOxidizer Fill Confirmation
2061,22.18,1915.14,106.85,540.48,699.27,676.62,680.16,9.35,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.51,%sOxidizer Fill Confirmation
2062,25.4,1915.14,106.85,540.23,699.27,676.62,680.16,9.35,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.53,%sOxidizer Fill Confirmation
2063,26.17,1915.14,106.85,540.23,699.62,676.62,680.16,9.35,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.56,%sOxidizer Fill Confirmation
2064,25.42,1915.14,106.85,540.23,699.62,677.17,681.21,10.08,0,0,0,0,0,1,1,0,0,6.29,-0.12,8783.58,%sOxidizer Fill Confirmation
2065,23.19,1914.3,106.49,540.23,699.62,677.17,681.21,10.08,0,0,0,0,0,1,1,0,0,6.29,-0.12,8783.61,%sOxidizer Fill Confirmation
2066,24.51,1914.3,106.49,540.28,699.62,677.17,681.21,10.08,0,0,0,0,0,1,1,0,0,6.29,-0.12,8783.63,%sOxidizer Fill Confirmation
2067,24.87,1914.3,106.49,540.28,700.08,677.17,681.21,10.08,0,0,0,0,0,1,1,0,0,6.29,-0.12,8783.66,%sOxidizer Fill Confirmation
2068,22.8,1914.3,106.49,540.28,700.08,678.02,681.21,10.08,0,0,0,0,0,1,1,0,0,6.29,-0.12,8783.68,%sOxidizer Fill Confirmation
2069,23.8,1914.3,106.49,540.28,700.08,678.02,681.98,10.32,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.7,%sOxidizer Fill Confirmation
2070,24.66,1913.99,106.63,540.28,700.08,678.02,681.98,10.32,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.73,%sOxidizer Fill Confirmation
2071,40.41,1913.99,106.63,540.41,700.69,678.02,681.98,10.32,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.77,%sOxidizer Fill Confirmation
2072,25.37,1913.99,106.63,540.41,700.69,679.02,682.42,9.77,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.79,%sOxidizer Fill Confirmation
2073,26.33,1913.99,106.63,540.41,700.69,679.02,682.42,9.77,0,0,0,0,0,1,1,0,0,6.29,-0.13,8783.82,%sOxidizer Fill Confirmation
2074,21.31,1913.82,106.63,540.41,700.69,679.02,682.42,9.77,0,0,0,0,0,1,1,0,0,6.3,-0.13,8783.84,%sOxidizer Fill Confirmation
2075,23.3,1913.82,106.65,540.51,701.28,680,682.42,9.77,0,0,0,0,0,1,1,0,0,6.3,-0.13,8783.86,%sOxidizer Fill Confirmation
2076,30.71,1913.82,106.65,540.51,701.28,680,683.34,9.77,0,0,0,0,0,1,1,0,0,6.3,-0.13,8783.89,%sOxidizer Fill Confirmation
2077,29.57,1913.82,106.65,540.51,701.28,680,683.34,9.74,0,0,0,0,0,1,1,0,0,6.31,-0.14,8783.92,%sOxidizer Fill Confirmation
2078,24.88,1913.11,106.49,540.67,701.28,680,683.34,9.74,0,0,0,0,0,1,1,0,0,6.31,-0.14,8783.95,%sOxidizer Fill Confirmation
2079,27.39,1913.11,106.49,540.67,701.82,680,683.34,9.74,0,0,0,0,0,1,1,0,0,6.31,-0.14,8783.98,%sOxidizer Fill Confirmation
2080,24.54,1913.11,106.49,540.67,701.82,680.45,683.65,9.74,0,0,0,0,0,1,1,0,0,6.31,-0.14,8784,%sOxidizer Fill Confirmation
2081,26.31,1913.11,106.49,540.67,701.82,680.45,683.65,9.57,0,0,0,0,0,1,1,0,0,6.31,-0.14,8784.03,%sOxidizer Fill Confirmation
2082,23.88,1912.9,106.5,540.73,701.82,680.45,683.65,9.57,0,0,0,0,0,1,1,0,0,6.33,-0.14,8784.05,%sOxidizer Fill Confirmation
2083,41.69,1912.9,106.5,540.73,702.37,681.57,683.65,9.57,0,0,0,0,0,1,1,0,0,6.33,-0.14,8784.09,%sOxidizer Fill Confirmation
2084,26.56,1912.9,106.5,540.73,702.37,681.57,684.15,9.53,0,0,0,0,0,1,1,0,0,6.33,-0.15,8784.12,%sOxidizer Fill Confirmation
2085,26.83,1912.9,106.5,540.73,702.37,681.57,684.15,9.53,0,0,0,0,0,1,1,0,0,6.33,-0.15,8784.15,%sOxidizer Fill Confirmation
2086,25.92,1912.48,106.58,540.76,702.9,681.57,684.15,9.53,0,0,0,0,0,1,1,0,0,6.33,-0.15,8784.17,%sOxidizer Fill Confirmation
2087,26.72,1912.48,106.58,540.76,702.9,682.74,684.87,9.54,0,0,0,0,0,1,1,0,0,6.33,-0.15,8784.2,%sOxidizer Fill Confirmation
2088,28.21,1912.48,106.58,540.76,702.9,682.74,684.87,9.54,0,0,0,0,0,1,1,0,0,6.33,-0.15,8784.23,%sOxidizer Fill Confirmation
2089,25.67,1912.03,106.41,540.77,702.9,682.74,684.87,9.54,0,0,0,0,0,1,1,0,0,6.34,-0.15,8784.25,%sOxidizer Fill Confirmation
2090,26.23,1912.03,106.41,540.77,703.52,683.9,684.87,9.54,0,0,0,0,0,1,1,0,0,6.34,-0.15,8784.28,%sOxidizer Fill Confirmation
2091,26.4,1912.03,106.41,540.77,703.52,683.9,685.9,9.54,0,0,0,0,0,1,1,0,0,6.34,-0.15,8784.3,%sOxidizer Fill Confirmation
2092,25.16,1912.03,106.41,540.77,703.52,683.9,685.9,9.91,0,0,0,0,0,1,1,0,0,6.35,-0.15,8784.33,%sOxidizer Fill Confirmation
2093,33.6,1912.09,106.38,540.77,703.52,683.9,685.9,9.91,0,0,0,0,0,1,1,0,0,6.35,-0.15,8784.36,%sOxidizer Fill Confirmation
2094,26.6,1912.09,106.38,540.95,704.21,684.82,685.9,9.91,0,0,0,0,0,1,1,0,0,6.35,-0.15,8784.39,%sOxidizer Fill Confirmation
2095,26.61,1912.09,106.38,540.95,704.21,684.82,685.74,9.3,0,0,0,0,0,1,1,0,0,6.35,-0.15,8784.42,%sOxidizer Fill Confirmation
2096,23.59,1912.09,106.59,540.95,704.21,684.82,685.74,9.3,0,0,0,0,0,1,1,0,0,6.36,-0.15,8784.44,%sOxidizer Fill Confirmation
2097,39.18,1912.09,106.59,541.1,704.63,684.82,685.74,9.3,0,0,0,0,0,1,1,0,0,6.36,-0.15,8784.48,%sOxidizer Fill Confirmation
2098,26.1,1912.09,106.59,541.1,704.63,685.38,685.74,9.3,0,0,0,0,0,1,1,0,0,6.36,-0.15,8784.51,%sOxidizer Fill Confirmation
2099,22.58,1912.09,106.59,541.1,704.63,685.38,686.02,8.91,0,0,0,0,0,1,1,0,0,6.36,-0.17,8784.53,%sOxidizer Fill Confirmation
2100,24.69,1912.59,106.59,541.1,704.63,685.38,686.02,8.91,0,0,0,0,0,1,1,0,0,6.37,-0.17,8784.55,%sOxidizer Fill Confirmation
2101,25.59,1912.59,106.65,541.26,704.63,685.38,686.02,8.91,0,0,0,0,0,1,1,0,0,6.37,-0.17,8784.58,%sOxidizer Fill Confirmation
2102,24.9,1912.59,106.65,541.26,704.97,685.38,686.02,8.91,0,0,0,0,0,1,1,0,0,6.37,-0.17,8784.6,%sOxidizer Fill Confirmation
2103,24.78,1912.59,106.65,541.26,704.97,685.8,685.98,8.91,0,0,0,0,0,1,1,0,0,6.37,-0.17,8784.63,%sOxidizer Fill Confirmation
2104,21.37,1912.59,106.65,541.26,704.97,685.8,685.98,8.21,0,0,0,0,0,1,1,0,0,6.38,-0.19,8784.65,%sOxidizer Fill Confirmation
2105,25.19,1912.56,106.65,541.26,704.97,685.8,685.98,8.21,0,0,0,0,0,1,1,0,0,6.38,-0.19,8784.67,%sOxidizer Fill Confirmation
2106,23.62,1912.56,106.72,541.46,705.5,686.27,685.98,8.21,0,0,0,0,0,1,1,0,0,6.38,-0.19,8784.7,%sOxidizer Fill Confirmation
2107,24.28,1912.56,106.72,541.46,705.5,686.27,686.11,8.21,0,0,0,0,0,1,1,0,0,6.38,-0.19,8784.72,%sOxidizer Fill Confirmation
2108,23.13,1912.56,106.72,541.46,705.5,686.27,686.11,7.94,0,0,0,0,0,1,1,0,0,6.39,-0.19,8784.75,%sOxidizer Fill Confirmation
2109,26.49,1912.65,106.72,541.46,705.5,686.27,686.11,7.94,0,0,0,0,0,1,1,0,0,6.39,-0.19,8784.77,%sOxidizer Fill Confirmation
2110,26.67,1912.65,106.65,541.42,705.73,686.27,686.11,7.94,0,0,0,0,0,1,1,0,0,6.39,-0.19,8784.8,%sOxidizer Fill Confirmation
2111,26.65,1912.65,106.65,541.42,705.73,686.52,686.11,7.94,0,0,0,0,0,1,1,0,0,6.39,-0.19,8784.83,%sOxidizer Fill Confirmation
2112,29.68,1912.65,106.65,541.42,705.73,686.52,687.19,7.94,0,0,0,0,0,1,1,0,0,6.39,-0.19,8784.86,%sOxidizer Fill Confirmation
2113,28.68,1912.65,106.65,541.42,705.73,686.52,687.19,8.56,0,0,0,0,0,1,1,0,0,6.4,-0.18,8784.88,%sOxidizer Fill Confirmation
2114,32.28,1912.85,106.65,541.42,705.73,686.52,687.19,8.56,0,0,0,0,0,1,1,0,0,6.4,-0.18,8784.92,%sOxidizer Fill Confirmation
2115,23.59,1912.85,106.48,541.21,705.73,686.52,687.19,8.56,0,0,0,0,0,1,1,0,0,6.4,-0.18,8784.94,%sOxidizer Fill Confirmation
2116,34.75,1912.85,106.48,541.21,705.93,686.52,687.19,8.56,0,0,0,0,0,1,1,0,0,6.4,-0.18,8784.97,%sOxidizer Fill Confirmation
2117,29.74,1912.85,106.48,541.21,705.93,686.43,687.19,8.56,0,0,0,0,0,1,1,0,0,6.4,-0.18,8785,%sOxidizer Fill Confirmation
2118,33.16,1912.85,106.48,541.21,705.93,686.43,687.19,8.87,0,0,0,0,0,1,1,0,0,6.4,-0.18,8785.04,%sOxidizer Fill Confirmation
2119,34.11,1913.47,106.48,541.21,705.93,686.43,687.19,8.87,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.07,%sOxidizer Fill Confirmation
2120,28.59,1913.47,106.48,541.21,705.93,686.43,687.19,8.87,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.1,%sOxidizer Fill Confirmation
2121,26.73,1913.47,106.64,541.03,705.93,686.43,687.19,8.87,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.13,%sOxidizer Fill Confirmation
2122,35.28,1913.47,106.64,541.03,706.11,686.8,687.19,8.87,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.16,%sOxidizer Fill Confirmation
2123,27.92,1913.47,106.64,541.03,706.11,686.8,687.65,8.87,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.19,%sOxidizer Fill Confirmation
2124,38.22,1913.47,106.64,541.03,706.11,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.41,-0.16,8785.23,%sOxidizer Fill Confirmation
2125,29.14,1913.47,106.64,541.03,706.11,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.41,-0.14,8785.26,%sOxidizer Fill Confirmation
2126,37.37,1913.32,106.64,541.03,706.11,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.29,%sOxidizer Fill Confirmation
2127,34.6,1913.32,106.36,541.03,706.11,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.33,%sOxidizer Fill Confirmation
2128,58.77,1913.32,106.36,540.81,706.11,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.39,%sOxidizer Fill Confirmation
2129,25.17,1913.32,106.36,540.81,706.38,686.8,687.65,9.08,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.41,%sOxidizer Fill Confirmation
2130,33.72,1913.32,106.36,540.81,706.38,687.01,688.39,9.08,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.45,%sOxidizer Fill Confirmation
2131,31.16,1913.32,106.36,540.81,706.38,687.01,688.39,9.47,0,0,0,0,0,1,1,0,0,6.42,-0.14,8785.48,%sOxidizer Fill Confirmation
2132,29.2,1913.32,106.36,540.81,706.38,687.01,688.39,9.47,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.51,%sOxidizer Fill Confirmation
2133,32.78,1913.08,106.36,540.81,706.38,687.01,688.39,9.47,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.54,%sOxidizer Fill Confirmation
2134,28.7,1913.08,106.13,540.82,706.38,687.01,688.39,9.47,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.57,%sOxidizer Fill Confirmation
2135,41.31,1913.08,106.13,540.82,706.81,686.92,688.39,9.47,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.61,%sOxidizer Fill Confirmation
2136,30.28,1913.08,106.13,540.82,706.81,686.92,688.74,9.47,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.64,%sOxidizer Fill Confirmation
2137,31.67,1913.08,106.13,540.82,706.81,686.92,688.74,9.95,0,0,0,0,0,1,1,0,0,6.44,-0.12,8785.67,%sOxidizer Fill Confirmation
2138,34.66,1913.08,106.13,540.82,706.81,686.92,688.74,9.95,0,0,0,0,0,1,1,0,0,6.46,-0.12,8785.71,%sOxidizer Fill Confirmation
2139,26.01,1913.57,106.09,540.82,706.81,686.92,688.74,9.95,0,0,0,0,0,1,1,0,0,6.46,-0.12,8785.73,%sOxidizer Fill Confirmation
2140,29.65,1913.57,106.09,540.77,706.81,686.92,688.74,9.95,0,0,0,0,0,1,1,0,0,6.46,-0.12,8785.76,%sOxidizer Fill Confirmation
2141,34.98,1913.57,106.09,540.77,707.07,686.92,688.74,9.95,0,0,0,0,0,1,1,0,0,6.46,-0.12,8785.8,%sOxidizer Fill Confirmation
2142,28.99,1913.57,106.09,540.77,707.07,687.33,688.74,9.95,0,0,0,0,0,1,1,0,0,6.46,-0.12,8785.83,%sOxidizer Fill Confirmation
2143,29.33,1913.57,106.09,540.77,707.07,687.33,689.37,9.63,0,0,0,0,0,1,1,0,0,6.46,-0.11,8785.86,%sOxidizer Fill Confirmation
2144,35.71,1913.57,106.09,540.77,707.07,687.33,689.37,9.63,0,0,0,0,0,1,1,0,0,6.48,-0.11,8785.89,%sOxidizer Fill Confirmation
2145,24.98,1913.78,105.99,540.77,707.07,687.33,689.37,9.63,0,0,0,0,0,1,1,0,0,6.48,-0.11,8785.92,%sOxidizer Fill Confirmation
2146,38.22,1913.78,105.99,540.62,707.31,687.33,689.37,9.63,0,0,0,0,0,1,1,0,0,6.48,-0.11,8785.95,%sOxidizer Fill Confirmation
2147,33.79,1913.78,105.99,540.62,707.31,687.13,689.37,9.63,0,0,0,0,0,1,1,0,0,6.48,-0.11,8785.99,%sOxidizer Fill Confirmation
2148,23.13,1913.78,105.99,540.62,707.31,687.13,690.01,9.63,0,0,0,0,0,1,1,0,0,6.48,-0.11,8786.01,%sOxidizer Fill Confirmation
2149,25.38,1913.78,105.99,540.62,707.31,687.13,690.01,10.33,0,0,0,0,0,1,1,0,0,6.49,-0.11,8786.04,%sOxidizer Fill Confirmation
2150,34.31,1914.29,105.99,540.62,707.31,687.13,690.01,10.33,0,0,0,0,0,1,1,0,0,6.49,-0.11,8786.07,%sOxidizer Fill Confirmation
2151,28.88,1914.29,106.12,540.7,707.31,687.13,690.01,10.33,0,0,0,0,0,1,1,0,0,6.49,-0.11,8786.1,%sOxidizer Fill Confirmation
2152,25.83,1914.29,106.12,540.7,707.72,687.13,690.01,10.33,0,0,0,0,0,1,1,0,0,6.49,-0.11,8786.13,%sOxidizer Fill Confirmation
2153,30.39,1914.29,106.12,540.7,707.72,687.28,690.44,10.33,0,0,0,0,0,1,1,0,0,6.49,-0.11,8786.16,%sOxidizer Fill Confirmation
2154,26.5,1914.29,106.12,540.7,707.72,687.28,690.44,10.33,0,0,0,0,0,1,1,0,0,6.51,-0.11,8786.18,%sOxidizer Fill Confirmation
2155,38.83,1913.84,106.12,540.59,707.72,687.28,690.44,10.33,0,0,0,0,0,1,1,0,0,6.51,-0.11,8786.22,%sOxidizer Fill Confirmation
2156,31.7,1913.84,106.12,540.59,708.38,687.28,690.44,10.33,0,0,0,0,0,1,1,0,0,6.51,-0.11,8786.25,%sOxidizer Fill Confirmation
2157,25.31,1913.84,106.12,540.59,708.38,688.43,691.54,10.33,0,0,0,0,0,1,1,0,0,6.51,-0.11,8786.28,%sOxidizer Fill Confirmation
2158,28.26,1913.84,106.12,540.59,708.38,688.43,691.54,10.85,0,0,0,0,0,1,1,0,0,6.53,-0.09,8786.31,%sOxidizer Fill Confirmation
2159,29.27,1913.94,106.12,540.59,708.38,688.43,691.54,10.85,0,0,0,0,0,1,1,0,0,6.53,-0.09,8786.34,%sOxidizer Fill Confirmation
2160,29.67,1913.94,106.1,540.42,708.38,688.43,691.54,10.85,0,0,0,0,0,1,1,0,0,6.53,-0.09,8786.37,%sOxidizer Fill Confirmation
2161,26.41,1913.94,106.1,540.42,708.81,688.43,691.54,10.85,0,0,0,0,0,1,1,0,0,6.53,-0.09,8786.39,%sOxidizer Fill Confirmation
2162,30.35,1913.94,106.1,540.42,708.81,689.05,691.54,10.85,0,0,0,0,0,1,1,0,0,6.53,-0.09,8786.42,%sOxidizer Fill Confirmation
2163,28.83,1913.94,106.1,540.42,708.81,689.05,692.52,11.12,0,0,0,0,0,1,1,0,0,6.55,-0.08,8786.45,%sOxidizer Fill Confirmation
2164,23.25,1913.67,106.1,540.42,708.81,689.05,692.52,11.12,0,0,0,0,0,1,1,0,0,6.55,-0.08,8786.47,%sOxidizer Fill Confirmation
2165,26.73,1913.67,106.1,540.36,708.81,689.05,692.52,11.12,0,0,0,0,0,1,1,0,0,6.55,-0.08,8786.5,%sOxidizer Fill Confirmation
2166,25.69,1913.67,106.1,540.36,709.45,689.83,692.52,11.12,0,0,0,0,0,1,1,0,0,6.55,-0.08,8786.53,%sOxidizer Fill Confirmation
2167,25.88,1913.67,106.1,540.36,709.45,689.83,692.83,11.12,0,0,0,0,0,1,1,0,0,6.55,-0.08,8786.55,%sOxidizer Fill Confirmation
2168,26.68,1913.67,106.1,540.36,709.45,689.83,692.83,10.97,0,0,0,0,0,1,1,0,0,6.55,-0.06,8786.58,%sOxidizer Fill Confirmation
2169,28.77,1913.49,106.21,540.36,709.45,689.83,692.83,10.97,0,0,0,0,0,1,1,0,0,6.56,-0.06,8786.61,%sOxidizer Fill Confirmation
2170,27.88,1913.49,106.21,540.43,709.45,689.83,692.83,10.97,0,0,0,0,0,1,1,0,0,6.56,-0.06,8786.64,%sOxidizer Fill Confirmation
2171,26.71,1913.49,106.21,540.43,710.02,689.83,692.83,10.97,0,0,0,0,0,1,1,0,0,6.56,-0.06,8786.66,%sOxidizer Fill Confirmation
2172,23.73,1913.49,106.21,540.43,710.02,690.84,693.95,11.4,0,0,0,0,0,1,1,0,0,6.56,-0.08,8786.69,%sOxidizer Fill Confirmation
2173,26.89,1913.49,106.21,540.43,710.02,690.84,693.95,11.4,0,0,0,0,0,1,1,0,0,6.57,-0.08,8786.71,%sOxidizer Fill Confirmation
2174,25.37,1912.87,106.21,540.43,710.02,690.84,693.95,11.4,0,0,0,0,0,1,1,0,0,6.57,-0.08,8786.74,%sOxidizer Fill Confirmation
2175,29.57,1912.87,106.01,540.57,711,690.84,693.95,11.4,0,0,0,0,0,1,1,0,0,6.57,-0.08,8786.77,%sOxidizer Fill Confirmation
2176,26.07,1912.87,106.01,540.57,711,692.24,695.39,11.4,0,0,0,0,0,1,1,0,0,6.57,-0.08,8786.79,%sOxidizer Fill Confirmation
2177,23.44,1912.87,106.01,540.57,711,692.24,695.39,11.41,0,0,0,0,0,1,1,0,0,6.57,-0.1,8786.82,%sOxidizer Fill Confirmation
2178,29.23,1913.27,106.01,540.57,711,692.24,695.39,11.41,0,0,0,0,0,1,1,0,0,6.59,-0.1,8786.85,%sOxidizer Fill Confirmation
2179,26.64,1913.27,106.25,540.77,711,692.24,695.39,11.41,0,0,0,0,0,1,1,0,0,6.59,-0.1,8786.87,%sOxidizer Fill Confirmation
2180,28.94,1913.27,106.25,540.77,711.67,692.24,695.39,11.41,0,0,0,0,0,1,1,0,0,6.59,-0.1,8786.9,%sOxidizer Fill Confirmation
2181,25.24,1913.27,106.25,540.77,711.67,692.9,695.82,11.41,0,0,0,0,0,1,1,0,0,6.59,-0.1,8786.93,%sOxidizer Fill Confirmation
2182,23.19,1913.76,106.25,540.77,711.67,692.9,695.82,11.05,0,0,0,0,0,1,1,0,0,6.6,-0.12,8786.95,%sOxidizer Fill Confirmation
2183,26.76,1913.76,106.26,540.54,711.67,692.9,695.82,11.05,0,0,0,0,0,1,1,0,0,6.6,-0.12,8786.98,%sOxidizer Fill Confirmation
2184,26.25,1913.76,106.26,540.54,711.91,692.9,695.82,11.05,0,0,0,0,0,1,1,0,0,6.6,-0.12,8787,%sOxidizer Fill Confirmation
2185,21.71,1913.76,106.26,540.54,711.91,693.23,695.82,11.05,0,0,0,0,0,1,1,0,0,6.6,-0.12,8787.03,%sOxidizer Fill Confirmation
2186,26.77,1913.76,106.26,540.54,711.91,693.23,696.26,10.81,0,0,0,0,0,1,1,0,0,6.61,-0.1,8787.05,%sOxidizer Fill Confirmation
2187,25.16,1913.21,106.26,540.54,711.91,693.23,696.26,10.81,0,0,0,0,0,1,1,0,0,6.61,-0.1,8787.08,%sOxidizer Fill Confirmation
2188,26.38,1913.21,106.24,540.62,711.91,693.23,696.26,10.81,0,0,0,0,0,1,1,0,0,6.61,-0.1,8787.1,%sOxidizer Fill Confirmation
2189,27.04,1913.21,106.24,540.62,712.53,693.48,696.3,10.81,0,0,0,0,0,1,1,0,0,6.61,-0.1,8787.13,%sOxidizer Fill Confirmation
2190,26.73,1913.21,106.24,540.62,712.53,693.48,696.3,11.05,0,0,0,0,0,1,1,0,0,6.62,-0.11,8787.16,%sOxidizer Fill Confirmation
2191,27.26,1913.1,106.32,540.62,712.53,693.48,696.3,11.05,0,0,0,0,0,1,1,0,0,6.62,-0.11,8787.19,%sOxidizer Fill Confirmation
2192,26.78,1913.1,106.32,540.63,712.53,693.48,696.3,11.05,0,0,0,0,0,1,1,0,0,6.62,-0.11,8787.21,%sOxidizer Fill Confirmation
2193,26.05,1913.1,106.32,540.63,713.14,694.66,696.69,10.39,0,0,0,0,0,1,1,0,0,6.62,-0.11,8787.24,%sOxidizer Fill Confirmation
2194,26.12,1913.1,106.32,540.63,713.14,694.66,696.69,10.39,0,0,0,0,0,1,1,0,0,6.62,-0.11,8787.26,%sOxidizer Fill Confirmation
2195,23.72,1912.68,106.32,540.63,713.14,694.66,696.69,10.39,0,0,0,0,0,1,1,0,0,6.63,-0.11,8787.29,%sOxidizer Fill Confirmation
2196,28.12,1912.68,106.21,540.63,713.8,694.66,696.69,10.39,0,0,0,0,0,1,1,0,0,6.63,-0.11,8787.32,%sOxidizer Fill Confirmation
2197,27.31,1912.68,106.21,540.63,713.8,695.39,697.05,10.39,0,0,0,0,0,1,1,0,0,6.63,-0.11,8787.34,%sOxidizer Fill Confirmation
2198,25.59,1912.68,106.21,540.63,713.8,695.39,697.05,10.4,0,0,0,0,0,1,1,0,0,6.63,-0.11,8787.37,%sOxidizer Fill Confirmation
2199,23.06,1912.86,106.21,540.63,713.8,695.39,697.05,10.4,0,0,0,0,0,1,1,0,0,6.65,-0.12,8787.39,%sOxidizer Fill Confirmation
2200,22.09,1912.86,106.45,540.63,713.8,695.39,697.05,10.4,0,0,0,0,0,1,1,0,0,6.65,-0.12,8787.41,%sOxidizer Fill Confirmation
