Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State
41,30.14,1967.09,107.47,544.95,866.54,11.64,12.02,14.32,0,0,0,0,0,0,1,0,0,2.38,-0.03,8726.68,%sSafe
42,29.26,1967.09,107.47,544.95,866.54,11.64,12.11,14.25,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.71,%sSafe
43,29.75,1967.01,107.44,544.95,866.54,11.64,12.11,14.25,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.74,%sSafe
44,28.99,1967.01,107.44,544.92,866.45,11.64,12.11,14.25,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.77,%sSafe
45,25.7,1967.01,107.44,544.92,866.45,11.32,12.28,14.25,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.79,%sSafe
46,27.52,1967.01,107.44,544.92,866.45,11.32,12.28,14.94,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.82,%sSafe
47,24.22,1967.17,107.66,545.19,866.45,11.32,12.28,14.94,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.84,%sSafe
48,23.84,1967.17,107.66,545.19,866.64,11.63,12.28,14.94,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.87,%sSafe
49,29.72,1967.17,107.66,545.19,866.64,11.63,12.28,14.94,0,0,0,0,0,0,1,0,0,2.38,-0.01,8726.9,%sSafe
50,26.81,1967.51,107.66,545.19,866.64,11.63,12.01,14.92,0,0,0,0,0,0,1,0,0,2.38,0,8726.92,%sSafe
51,33.75,1967.51,107.46,545.19,866.64,11.63,12.01,14.92,0,0,0,0,0,0,1,0,0,2.38,0,8726.96,%sSafe
52,29.74,1967.51,107.46,545.1,866.62,11.63,12.01,14.92,0,0,0,0,0,0,1,0,0,2.38,0,8726.99,%sSafe
53,28.78,1967.51,107.46,545.1,866.62,11.53,12.02,14.83,0,0,0,0,0,0,1,0,0,2.38,0,8727.02,%sSafe
54,24.59,1967.51,107.46,545.1,866.62,11.53,12.02,14.83,0,0,0,0,0,0,1,0,0,2.38,0,8727.04,%sSafe
55,26.43,1967.51,107.48,545.21,866.62,11.53,12.02,14.83,0,0,0,0,0,0,1,0,0,2.38,0,8727.07,%sSafe
56,24.64,1967.51,107.48,545.21,866.48,11.53,12.02,14.83,0,0,0,0,0,0,1,0,0,2.38,0,8727.09,%sSafe
57,27.92,1967.51,107.48,545.21,866.48,11.02,11.58,14.94,0,0,0,0,0,0,1,0,0,2.38,0,8727.12,%sSafe
58,25.15,1966.67,107.48,545.21,866.48,11.02,11.58,14.94,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.15,%sSafe
59,30.42,1966.67,107.17,545.05,866.48,11.02,11.58,14.94,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.18,%sSafe
60,29.01,1966.67,107.17,545.05,866.61,11.02,11.58,14.94,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.21,%sSafe
61,23.04,1966.67,107.17,545.05,866.61,11.67,12.16,15.3,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.23,%sSafe
62,29.93,1965.79,106.81,545.05,866.61,11.67,12.16,15.3,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.26,%sSafe
63,28.1,1965.79,106.81,544.99,866.61,11.67,12.16,15.3,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.29,%sSafe
64,22.63,1965.79,106.81,544.99,866.69,12.44,12.67,15.1,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.31,%sSafe
65,28.2,1965.79,106.81,544.99,866.69,12.44,12.67,15.1,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.34,%sSafe
66,31.23,1966.71,107.07,545.23,866.69,12.44,12.67,15.1,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.37,%sSafe
67,27.5,1966.71,107.07,545.23,866.51,11.58,12.67,15.1,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.4,%sSafe
68,24.76,1966.71,107.07,545.23,866.51,11.58,11.84,14.46,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.42,%sSafe
69,26.17,1966.71,107.07,545.23,866.51,11.58,11.84,14.46,0,0,0,0,0,0,1,0,0,2.37,0,8727.45,%sSafe
70,25.45,1966.93,107.26,545.38,866.51,11.58,11.84,14.46,0,0,0,0,0,0,1,0,0,2.37,0,8727.47,%sSafe
71,28.26,1966.93,107.26,545.38,866.42,11.53,11.78,14.46,0,0,0,0,0,0,1,0,0,2.37,0,8727.5,%sSafe
72,25.15,1966.93,107.26,545.38,866.42,11.53,11.78,14.41,0,0,0,0,0,0,1,0,0,2.37,0,8727.53,%sSafe
73,22.72,1966.93,107.26,545.38,866.42,11.53,11.78,14.41,0,0,0,0,0,0,1,0,0,2.37,0,8727.55,%sSafe
74,28.73,1967.09,107.32,545.45,866.52,11.53,11.78,14.41,0,0,0,0,0,0,1,0,0,2.37,0,8727.58,%sSafe
75,23.5,1967.09,107.32,545.45,866.52,11.62,11.27,14.41,0,0,0,0,0,0,1,0,0,2.37,0,8727.6,%sSafe
76,26.12,1967.09,107.32,545.45,866.52,11.62,11.27,13.36,0,0,0,0,0,0,1,0,0,2.37,0,8727.63,%sSafe
77,24.72,1968,107.61,545.53,866.52,11.62,11.27,13.36,0,0,0,0,0,0,1,0,0,2.37,0,8727.65,%sSafe
78,26.86,1968,107.61,545.53,866.42,11.62,11.27,13.36,0,0,0,0,0,0,1,0,0,2.37,0,8727.68,%sSafe
79,28.71,1968,107.61,545.53,866.42,10.86,11.27,13.36,0,0,0,0,0,0,1,0,0,2.37,0,8727.71,%sSafe
80,24.79,1968,107.61,545.53,866.42,10.86,11.09,13.37,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.73,%sSafe
81,27.64,1968.06,107.75,545.53,866.42,10.86,11.09,13.37,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.76,%sSafe
82,21.02,1968.06,107.75,545.76,866.42,10.86,11.09,13.37,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.78,%sSafe
83,25.06,1968.06,107.75,545.76,866.61,10.56,11.09,13.37,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.81,%sSafe
84,26.76,1968.06,107.75,545.76,866.61,10.56,10.27,12.67,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.83,%sSafe
85,27.29,1968.38,107.75,545.76,866.61,10.56,10.27,12.67,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.86,%sSafe
86,26.13,1968.38,107.73,545.76,866.61,10.56,10.27,12.67,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.89,%sSafe
87,26.7,1968.38,107.73,545.76,866.5,9.98,10.35,12.67,0,0,0,0,0,0,1,0,0,2.37,-0.01,8727.91,%sSafe
88,25.58,1968.38,107.73,545.76,866.5,9.98,10.35,12.85,0,0,0,0,0,0,1,0,0,2.37,-0.02,8727.94,%sSafe
89,33.48,1968.47,107.73,545.76,866.5,9.98,10.35,12.85,0,0,0,0,0,0,1,0,0,2.37,-0.02,8727.97,%sSafe
90,29.71,1968.47,107.88,545.93,866.5,9.98,10.35,12.85,0,0,0,0,0,0,1,0,0,2.37,-0.02,8728,%sSafe
91,30.64,1968.47,107.88,545.93,866.66,10.02,10.34,12.85,0,0,0,0,0,0,1,0,0,2.37,-0.02,8728.03,%sSafe
92,29.45,1968.47,107.88,545.93,866.66,10.02,10.34,12.84,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.06,%sSafe
93,26.11,1968.78,107.88,545.93,866.66,10.02,10.34,12.84,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.09,%sSafe
94,27.84,1968.78,107.87,545.77,866.66,10.02,10.34,12.84,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.12,%sSafe
95,27.57,1968.78,107.87,545.77,866.51,9.62,10.34,12.84,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.14,%sSafe
96,26.34,1968.78,107.87,545.77,866.51,9.62,9.95,12.84,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.17,%sSafe
97,26.22,1968.78,107.87,545.77,866.51,9.62,9.95,13.09,0,0,0,0,0,0,1,0,0,2.37,-0.01,8728.2,%sSafe
98,26.31,1968.67,107.84,545.77,866.51,9.62,9.95,13.09,0,0,0,0,0,0,1,0,0,2.37,0.01,8728.22,%sSafe
99,28.4,1968.67,107.84,545.78,866.4,9.62,9.95,13.09,0,0,0,0,0,0,1,0,0,2.37,0.01,8728.25,%sSafe
100,28.32,1968.67,107.84,545.78,866.4,9.62,9.95,13.09,0,0,0,0,0,0,1,0,0,2.37,0.01,8728.28,%sSafe
101,23.16,1968.67,107.84,545.78,866.4,9.17,10.14,13.51,0,0,0,0,0,0,1,0,0,2.37,0.01,8728.3,%sSafe
102,26.74,1968.67,107.84,545.78,866.4,9.17,10.14,13.51,0,0,0,0,0,0,1,0,0,2.38,0.03,8728.33,%sSafe
103,28.39,1968.67,107.84,545.78,866.4,9.17,10.14,13.51,0,0,0,0,0,0,1,0,0,2.38,0.03,8728.36,%sSafe
104,25.64,1968.89,107.72,545.54,866.07,9.17,10.14,13.51,0,0,0,0,0,0,1,0,0,2.38,0.03,8728.38,%sSafe
105,27.44,1968.89,107.72,545.54,866.07,8.32,9.73,13.51,0,0,0,0,0,0,1,0,0,2.38,0.03,8728.41,%sSafe
106,22.86,1968.89,107.72,545.54,866.07,8.32,9.73,14.16,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.43,%sSafe
107,26.22,1968.89,107.72,545.54,866.07,8.32,9.73,14.16,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.46,%sSafe
108,25.27,1968.14,107.41,545.32,865.96,8.32,9.73,14.16,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.48,%sSafe
109,38.29,1968.14,107.41,545.32,865.96,8.37,9.73,14.16,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.52,%sSafe
110,27.66,1968.14,107.41,545.32,865.96,8.37,10.28,14.91,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.55,%sSafe
111,28.16,1968.14,107.41,545.32,865.96,8.37,10.28,14.91,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.58,%sSafe
112,25.17,1967.74,107.41,545.32,865.96,8.37,10.28,14.91,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.6,%sSafe
113,24.81,1967.74,107.3,545.14,865.94,9.05,10.28,14.91,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.63,%sSafe
114,24.65,1967.74,107.3,545.14,865.94,9.05,11.18,15.64,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.65,%sSafe
115,27.1,1967.74,107.3,545.14,865.94,9.05,11.18,15.64,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.68,%sSafe
116,28.09,1967.27,107.2,545.06,865.94,9.05,11.18,15.64,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.71,%sSafe
117,30.26,1967.27,107.2,545.06,866.02,9.05,11.18,15.64,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.74,%sSafe
118,26.4,1967.27,107.2,545.06,866.02,9.45,11.26,15.64,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.76,%sSafe
119,26.7,1967.27,107.2,545.06,866.02,9.45,11.26,15.48,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.79,%sSafe
120,30.2,1967.27,107.2,545.06,866.02,9.45,11.26,15.48,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.82,%sSafe
121,25.23,1966.9,107.05,544.78,866.02,9.45,11.26,15.48,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.85,%sSafe
122,31.96,1966.9,107.05,544.78,865.76,9.45,11.26,15.48,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.88,%sSafe
123,25.25,1966.9,107.05,544.78,865.76,9.22,11.17,15.48,0,0,0,0,0,0,1,0,0,2.38,0.02,8728.9,%sSafe
124,25.66,1967.34,107.05,544.78,865.76,9.22,11.17,15.5,0,0,0,0,0,0,1,0,0,2.39,0.04,8728.93,%sSafe
125,31.18,1967.34,106.87,544.6,865.76,9.22,11.17,15.5,0,0,0,0,0,0,1,0,0,2.39,0.04,8728.96,%sSafe
126,28.58,1967.34,106.87,544.6,865.58,9.12,11.17,15.5,0,0,0,0,0,0,1,0,0,2.39,0.04,8728.99,%sSafe
127,30.7,1967.34,106.87,544.6,865.58,9.12,11.68,15.5,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.02,%sSafe
128,29.71,1967.34,106.87,544.6,865.58,9.12,11.68,16.24,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.05,%sSafe
129,28.68,1967.7,106.87,544.6,865.58,9.12,11.68,16.24,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.08,%sSafe
130,29.64,1967.7,107,544.6,865.58,9.12,11.68,16.24,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.11,%sSafe
131,34.73,1967.7,107,544.51,865.43,9.12,11.68,16.24,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.14,%sSafe
132,31.25,1967.7,107,544.51,865.43,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.17,%sSafe
133,29.73,1967.7,107,544.51,865.43,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.2,%sSafe
134,27.75,1967.7,107,544.51,865.43,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.23,%sSafe
135,24.74,1967.95,107.05,544.51,865.43,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.26,%sSafe
136,30.7,1967.95,107.05,544.52,865.43,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.29,%sSafe
137,26.6,1967.95,107.05,544.52,865.35,8.95,11.51,16.06,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.31,%sSafe
138,25.34,1967.95,107.05,544.52,865.35,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.04,8729.34,%sSafe
139,29.28,1967.95,107.05,544.52,865.35,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.37,%sSafe
140,35.26,1967.95,107.05,544.52,865.35,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.4,%sSafe
141,37.24,1967.92,107.33,544.52,865.35,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.44,%sSafe
142,32.31,1967.92,107.33,544.72,865.35,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.47,%sSafe
143,33.62,1967.92,107.33,544.72,865.41,8.99,11.6,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.51,%sSafe
144,39.64,1967.92,107.33,544.72,865.41,9.08,11.67,16.1,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.55,%sSafe
145,29.71,1967.92,107.33,544.72,865.41,9.08,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.02,8729.58,%sSafe
146,31.96,1967.92,107.33,544.72,865.41,9.08,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.61,%sSafe
147,36.33,1968.25,107.33,544.72,865.41,9.08,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.64,%sSafe
148,35.29,1968.25,107.66,544.72,865.41,9.08,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.68,%sSafe
149,38.51,1968.25,107.66,544.95,865.41,9.08,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.72,%sSafe
150,26.65,1968.25,107.66,544.95,865.5,8.97,11.67,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.74,%sSafe
151,36.96,1968.25,107.66,544.95,865.5,8.97,11.06,15.61,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.78,%sSafe
152,31.71,1968.25,107.66,544.95,865.5,8.97,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0.01,8729.81,%sSafe
153,29.66,1968.25,107.66,544.95,865.5,8.97,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0,8729.84,%sSafe
154,26.3,1968.48,107.72,544.95,865.5,8.97,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0,8729.87,%sSafe
155,29.8,1968.48,107.72,544.99,865.5,8.97,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0,8729.9,%sSafe
156,29.4,1968.48,107.72,544.99,865.56,9.05,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0,8729.93,%sSafe
157,38.27,1968.48,107.72,544.99,865.56,9.05,11.06,15.08,0,0,0,0,0,0,1,0,0,2.39,0,8729.97,%sSafe
158,23.27,1968.48,107.72,544.99,865.56,9.05,11.35,14.88,0,0,0,0,0,0,1,0,0,2.39,0,8729.99,%sSafe
159,24.91,1968.48,107.72,544.99,865.56,9.05,11.35,14.88,0,0,0,0,0,0,1,0,0,2.39,0,8730.02,%sSafe
160,29.7,1968.48,107.72,544.99,865.56,9.05,11.35,14.88,0,0,0,0,0,0,1,0,0,2.38,0,8730.04,%sSafe
161,31.09,1968.41,107.72,544.99,865.56,9.05,11.35,14.88,0,0,0,0,0,0,1,0,0,2.38,0,8730.08,%sSafe
162,30.57,1968.41,108.04,545.15,865.56,9.05,11.35,14.88,0,0,0,0,0,0,1,0,0,2.38,0,8730.11,%sSafe
163,28.61,1968.41,108.04,545.15,865.56,9.09,11.35,14.88,0,0,0,0,0,0,1,0,0,2.38,0,8730.14,%sSafe
164,31.29,1968.41,108.04,545.15,865.56,9.09,10.94,14.88,0,0,0,0,0,0,1,0,0,2.38,0,8730.17,%sSafe
165,26.63,1968.41,108.04,545.15,865.56,9.09,10.94,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.19,%sSafe
166,28.79,1968.41,108.04,545.15,865.56,9.09,10.94,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.22,%sSafe
167,31.68,1968.57,108.04,545.15,865.56,9.09,10.94,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.25,%sSafe
