Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
39,24.88,1724.8,107.79,549.63,819.47,7.28,4.99,12.13,0,0,0,0,0,0,1,0,0,2.36,0.12,11929.34,%sSafe,,
40,38.06,1724.8,107.79,549.63,819.47,7.28,5.03,12.06,0,0,0,0,0,0,1,0,0,2.36,0.12,11929.37,%sSafe,,
41,28.22,1724.8,107.79,549.63,819.47,7.28,5.03,12.06,0,0,0,0,0,0,1,0,0,2.36,0.12,11929.4,%sSafe,,
42,25.61,1724.68,107.68,549.63,819.47,7.28,5.03,12.06,0,0,0,0,0,0,1,0,0,2.35,0.12,11929.43,%sSafe,,
43,23.1,1724.68,107.68,549.59,819.47,7.28,5.03,12.06,0,0,0,0,0,0,1,0,0,2.35,0.12,11929.45,%sSafe,,
44,24.38,1724.68,107.68,549.59,819.46,7.34,5,12.11,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.48,%sSafe,,
45,27.88,1724.68,107.68,549.59,819.46,7.34,5,12.11,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.5,%sSafe,,
46,23.66,1724.47,107.56,549.59,819.46,7.34,5,12.11,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.53,%sSafe,,
47,30.32,1724.47,107.56,549.59,819.52,7.35,5,12.11,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.56,%sSafe,,
48,42.81,1724.47,107.56,549.59,819.52,7.35,5.04,12.02,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.6,%sSafe,,
