Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
1114,33.23,1670.05,107.17,544.53,647.77,607.57,598.19,7.94,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.81,%sOxidizer Fill Confirmation,,
1115,26.41,1670.16,107.25,544.53,647.77,607.57,598.19,7.94,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.83,%sOxidizer Fill Confirmation,,
1116,34.18,1670.16,107.25,544.58,647.77,607.57,598.19,7.94,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.87,%sOxidizer Fill Confirmation,,
1117,29.55,1670.16,107.25,544.58,648.2,607.57,598.19,7.94,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.9,%sOxidizer Fill Confirmation,,
1118,30.66,1670.16,107.25,544.58,648.2,607.99,598.84,7.94,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.93,%sOxidizer Fill Confirmation,,
1119,31.32,1670.16,107.25,544.58,648.2,607.99,598.84,7.96,0,0,0,0,0,1,1,0,0,5.68,-0.03,11958.96,%sOxidizer Fill Confirmation,,
1120,39.28,1670.16,107.25,544.58,648.2,607.99,598.84,7.96,0,0,0,0,0,1,1,0,0,5.69,-0.03,11959,%sOxidizer Fill Confirmation,,
1121,27.01,1670.06,107.29,544.58,648.2,607.99,598.84,7.96,0,0,0,0,0,1,1,0,0,5.69,-0.03,11959.03,%sOxidizer Fill Confirmation,,
1122,31.6,1670.06,107.29,544.58,648.2,607.99,598.84,7.96,0,0,0,0,0,1,1,0,0,5.69,-0.03,11959.06,%sOxidizer Fill Confirmation,,
1123,25.02,1670.06,107.29,544.58,648.77,608.77,598.84,7.96,0,0,0,0,0,1,1,0,0,5.69,-0.03,11959.08,%sOxidizer Fill Confirmation,,
1124,26.44,1670.06,107.29,544.58,648.77,608.77,599.46,7.96,0,0,0,0,0,1,1,0,0,5.69,-0.03,11959.11,%sOxidizer Fill Confirmation,,
1125,25.57,1670.06,107.29,544.58,648.77,608.77,599.46,7.91,0,0,0,0,0,1,1,0,0,5.69,-0.04,11959.13,%sOxidizer Fill Confirmation,,
1126,30.57,1670.1,107.28,544.58,648.77,608.77,599.46,7.91,0,0,0,0,0,1,1,0,0,5.7,-0.04,11959.16,%sOxidizer Fill Confirmation,,
1127,25.71,1670.1,107.28,544.6,648.77,608.77,599.46,7.91,0,0,0,0,0,1,1,0,0,5.7,-0.04,11959.19,%sOxidizer Fill Confirmation,,
1128,28.79,1670.1,107.28,544.6,649.4,609.42,599.46,7.91,0,0,0,0,0,1,1,0,0,5.7,-0.04,11959.22,%sOxidizer Fill Confirmation,,
1129,27.87,1670.1,107.28,544.6,649.4,609.42,600.11,7.91,0,0,0,0,0,1,1,0,0,5.7,-0.04,11959.25,%sOxidizer Fill Confirmation,,
1130,29.69,1670.1,107.28,544.6,649.4,609.42,600.11,7.91,0,0,0,0,0,1,1,0,0,5.7,-0.03,11959.28,%sOxidizer Fill Confirmation,,
1131,22.2,1670.1,107.28,544.6,649.4,609.42,600.11,7.91,0,0,0,0,0,1,1,0,0,5.71,-0.03,11959.3,%sOxidizer Fill Confirmation,,
1132,26.01,1670.09,107.15,544.6,649.4,609.42,600.11,7.91,0,0,0,0,0,1,1,0,0,5.71,-0.03,11959.32,%sOxidizer Fill Confirmation,,
1133,27.14,1670.09,107.15,544.62,649.94,609.42,600.11,7.91,0,0,0,0,0,1,1,0,0,5.71,-0.03,11959.35,%sOxidizer Fill Confirmation,,
1134,25.71,1670.09,107.15,544.62,649.94,610.1,600.11,7.91,0,0,0,0,0,1,1,0,0,5.71,-0.03,11959.38,%sOxidizer Fill Confirmation,,
1135,21.28,1670.09,107.15,544.62,649.94,610.1,600.83,7.91,0,0,0,0,0,1,1,0,0,5.71,-0.03,11959.4,%sOxidizer Fill Confirmation,,
1136,28.91,1670.09,107.15,544.62,649.94,610.1,600.83,7.96,0,0,0,0,0,1,1,0,0,5.74,-0.04,11959.43,%sOxidizer Fill Confirmation,,
1137,27.35,1670.19,107.25,544.62,649.94,610.1,600.83,7.96,0,0,0,0,0,1,1,0,0,5.74,-0.04,11959.46,%sOxidizer Fill Confirmation,,
1138,28.75,1670.19,107.25,544.66,649.94,610.1,600.83,7.96,0,0,0,0,0,1,1,0,0,5.74,-0.04,11959.48,%sOxidizer Fill Confirmation,,
1139,26.62,1670.19,107.25,544.66,650.63,610.95,600.83,7.96,0,0,0,0,0,1,1,0,0,5.74,-0.04,11959.51,%sOxidizer Fill Confirmation,,
1140,24.61,1670.19,107.25,544.66,650.63,610.95,601.49,7.96,0,0,0,0,0,1,1,0,0,5.74,-0.04,11959.54,%sOxidizer Fill Confirmation,,
1141,22.76,1670.19,107.25,544.66,650.63,610.95,601.49,7.83,0,0,0,0,0,1,1,0,0,5.74,-0.03,11959.56,%sOxidizer Fill Confirmation,,
1142,24.14,1670.19,107.25,544.66,650.63,610.95,601.49,7.83,0,0,0,0,0,1,1,0,0,5.76,-0.03,11959.58,%sOxidizer Fill Confirmation,,
1143,28.38,1670.34,107.19,544.65,650.63,610.95,601.49,7.83,0,0,0,0,0,1,1,0,0,5.76,-0.03,11959.61,%sOxidizer Fill Confirmation,,
1144,30.23,1670.34,107.19,544.65,651.33,611.67,601.49,7.83,0,0,0,0,0,1,1,0,0,5.76,-0.03,11959.64,%sOxidizer Fill Confirmation,,
1145,26.23,1670.34,107.19,544.65,651.33,611.67,602.1,7.83,0,0,0,0,0,1,1,0,0,5.76,-0.03,11959.67,%sOxidizer Fill Confirmation,,
1146,28.14,1670.34,107.19,544.65,651.33,611.67,602.1,7.83,0,0,0,0,0,1,1,0,0,5.78,-0.03,11959.69,%sOxidizer Fill Confirmation,,
1147,29.8,1670.51,107.24,544.7,651.33,611.67,602.1,7.83,0,0,0,0,0,1,1,0,0,5.78,-0.03,11959.72,%sOxidizer Fill Confirmation,,
1148,27.66,1670.51,107.24,544.7,652.05,612.63,602.1,7.83,0,0,0,0,0,1,1,0,0,5.78,-0.03,11959.75,%sOxidizer Fill Confirmation,,
1149,26.66,1670.51,107.24,544.7,652.05,612.63,602.95,7.83,0,0,0,0,0,1,1,0,0,5.78,-0.03,11959.78,%sOxidizer Fill Confirmation,,
1150,27.56,1670.51,107.24,544.7,652.05,612.63,602.95,7.82,0,0,0,0,0,1,1,0,0,5.78,-0.03,11959.81,%sOxidizer Fill Confirmation,,
1151,27.18,1670.66,107.24,544.75,652.05,612.63,602.95,7.82,0,0,0,0,0,1,1,0,0,5.8,-0.03,11959.83,%sOxidizer Fill Confirmation,,
1152,34.11,1670.66,107.24,544.75,652.75,612.63,602.95,7.82,0,0,0,0,0,1,1,0,0,5.8,-0.03,11959.87,%sOxidizer Fill Confirmation,,
1153,25,1670.66,107.24,544.75,652.75,613.41,603.71,7.71,0,0,0,0,0,1,1,0,0,5.8,-0.03,11959.89,%sOxidizer Fill Confirmation,,
1154,23.62,1670.66,107.24,544.75,652.75,613.41,603.71,7.71,0,0,0,0,0,1,1,0,0,5.82,-0.03,11959.92,%sOxidizer Fill Confirmation,,
1155,28.81,1670.69,107.26,544.75,652.75,613.41,603.71,7.71,0,0,0,0,0,1,1,0,0,5.82,-0.03,11959.95,%sOxidizer Fill Confirmation,,
1156,27.75,1670.69,107.26,544.78,652.75,613.41,603.71,7.71,0,0,0,0,0,1,1,0,0,5.82,-0.03,11959.97,%sOxidizer Fill Confirmation,,
1157,23.42,1670.69,107.26,544.78,653.5,614.27,604.35,7.71,0,0,0,0,0,1,1,0,0,5.82,-0.03,11960,%sOxidizer Fill Confirmation,,
1158,30.58,1670.69,107.26,544.78,653.5,614.27,604.35,7.57,0,0,0,0,0,1,1,0,0,5.82,-0.03,11960.03,%sOxidizer Fill Confirmation,,
1159,31.21,1670.62,107.23,544.78,653.5,614.27,604.35,7.57,0,0,0,0,0,1,1,0,0,5.83,-0.03,11960.06,%sOxidizer Fill Confirmation,,
1160,24.03,1670.62,107.23,544.83,654.15,614.27,604.35,7.57,0,0,0,0,0,1,1,0,0,5.83,-0.03,11960.08,%sOxidizer Fill Confirmation,,
1161,24.6,1670.62,107.23,544.83,654.15,614.88,604.35,7.57,0,0,0,0,0,1,1,0,0,5.83,-0.03,11960.11,%sOxidizer Fill Confirmation,,
1162,25.07,1670.62,107.23,544.83,654.15,614.88,604.98,7.57,0,0,0,0,0,1,1,0,0,5.83,-0.03,11960.13,%sOxidizer Fill Confirmation,,
1163,22.72,1670.62,107.23,544.83,654.15,614.88,604.98,7.48,0,0,0,0,0,1,1,0,0,5.86,-0.03,11960.15,%sOxidizer Fill Confirmation,,
1164,26.5,1670.62,107.2,544.82,654.15,614.88,604.98,7.48,0,0,0,0,0,1,1,0,0,5.86,-0.03,11960.18,%sOxidizer Fill Confirmation,,
1165,26.63,1670.62,107.2,544.82,654.8,615.64,604.98,7.48,0,0,0,0,0,1,1,0,0,5.86,-0.03,11960.21,%sOxidizer Fill Confirmation,,
1166,25.63,1670.62,107.2,544.82,654.8,615.64,605.57,7.41,0,0,0,0,0,1,1,0,0,5.86,-0.03,11960.23,%sOxidizer Fill Confirmation,,
1167,26.6,1670.72,107.2,544.82,654.8,615.64,605.57,7.41,0,0,0,0,0,1,1,0,0,5.87,-0.03,11960.26,%sOxidizer Fill Confirmation,,
1168,30.66,1670.72,107.21,544.83,654.8,615.64,605.57,7.41,0,0,0,0,0,1,1,0,0,5.87,-0.03,11960.29,%sOxidizer Fill Confirmation,,
1169,26.05,1670.72,107.21,544.83,655.31,616.14,605.57,7.41,0,0,0,0,0,1,1,0,0,5.87,-0.03,11960.32,%sOxidizer Fill Confirmation,,
1170,23.79,1670.72,107.21,544.83,655.31,616.14,606.15,7.4,0,0,0,0,0,1,1,0,0,5.87,-0.02,11960.34,%sOxidizer Fill Confirmation,,
1171,27.4,1670.7,107.21,544.83,655.31,616.14,606.15,7.4,0,0,0,0,0,1,1,0,0,5.89,-0.02,11960.37,%sOxidizer Fill Confirmation,,
1172,28.54,1670.7,107.16,544.82,655.31,616.14,606.15,7.4,0,0,0,0,0,1,1,0,0,5.89,-0.02,11960.4,%sOxidizer Fill Confirmation,,
1173,21.06,1670.7,107.16,544.82,655.77,616.66,606.15,7.4,0,0,0,0,0,1,1,0,0,5.89,-0.02,11960.42,%sOxidizer Fill Confirmation,,
1174,24.27,1670.7,107.16,544.82,655.77,616.66,606.95,7.46,0,0,0,0,0,1,1,0,0,5.89,-0.03,11960.44,%sOxidizer Fill Confirmation,,
1175,29.62,1670.7,107.16,544.82,655.77,616.66,606.95,7.46,0,0,0,0,0,1,1,0,0,5.91,-0.03,11960.47,%sOxidizer Fill Confirmation,,
1176,22.05,1670.81,107.33,544.81,655.77,616.66,606.95,7.46,0,0,0,0,0,1,1,0,0,5.91,-0.03,11960.49,%sOxidizer Fill Confirmation,,
1177,21.14,1670.81,107.33,544.81,656.33,616.99,606.95,7.46,0,0,0,0,0,1,1,0,0,5.91,-0.03,11960.51,%sOxidizer Fill Confirmation,,
1178,27.25,1670.81,107.33,544.81,656.33,616.99,607.42,7.29,0,0,0,0,0,1,1,0,0,5.91,-0.02,11960.54,%sOxidizer Fill Confirmation,,
1179,31.64,1670.81,107.33,544.81,656.33,616.99,607.42,7.29,0,0,0,0,0,1,1,0,0,5.92,-0.02,11960.57,%sOxidizer Fill Confirmation,,
1180,26.69,1670.98,107.32,544.81,656.33,616.99,607.42,7.29,0,0,0,0,0,1,1,0,0,5.92,-0.02,11960.6,%sOxidizer Fill Confirmation,,
1181,24.04,1670.98,107.32,544.82,656.76,617.42,607.42,7.29,0,0,0,0,0,1,1,0,0,5.92,-0.02,11960.62,%sOxidizer Fill Confirmation,,
1182,26.22,1670.98,107.32,544.82,656.76,617.42,607.99,7.32,0,0,0,0,0,1,1,0,0,5.92,-0.02,11960.65,%sOxidizer Fill Confirmation,,
1183,26.56,1670.98,107.32,544.82,656.76,617.42,607.99,7.32,0,0,0,0,0,1,1,0,0,5.93,-0.02,11960.68,%sOxidizer Fill Confirmation,,
1184,25.12,1671.01,107.34,544.82,656.76,617.42,607.99,7.32,0,0,0,0,0,1,1,0,0,5.93,-0.02,11960.7,%sOxidizer Fill Confirmation,,
1185,24.64,1671.01,107.34,544.83,657.1,617.42,607.99,7.32,0,0,0,0,0,1,1,0,0,5.93,-0.02,11960.73,%sOxidizer Fill Confirmation,,
1186,33.95,1671.01,107.34,544.83,657.1,618,608.56,7.32,0,0,0,0,0,1,1,0,0,5.93,-0.02,11960.76,%sOxidizer Fill Confirmation,,
1187,22.15,1671.01,107.34,544.83,657.1,618,608.56,7.32,0,0,0,0,0,1,1,0,0,5.93,-0.03,11960.78,%sOxidizer Fill Confirmation,,
1188,27.62,1671.02,107.26,544.83,657.1,618,608.56,7.32,0,0,0,0,0,1,1,0,0,5.95,-0.03,11960.81,%sOxidizer Fill Confirmation,,
1189,27.34,1671.02,107.26,544.76,657.1,618,608.56,7.32,0,0,0,0,0,1,1,0,0,5.95,-0.03,11960.84,%sOxidizer Fill Confirmation,,
1190,33.31,1671.02,107.26,544.76,657.45,618.3,608.56,7.32,0,0,0,0,0,1,1,0,0,5.95,-0.03,11960.87,%sOxidizer Fill Confirmation,,
1191,28.6,1671.02,107.26,544.76,657.45,618.3,608.93,7.24,0,0,0,0,0,1,1,0,0,5.95,-0.03,11960.9,%sOxidizer Fill Confirmation,,
1192,27.73,1671.02,107.26,544.76,657.45,618.3,608.93,7.24,0,0,0,0,0,1,1,0,0,5.96,-0.03,11960.93,%sOxidizer Fill Confirmation,,
1193,22.7,1670.84,107.18,544.73,657.45,618.3,608.93,7.24,0,0,0,0,0,1,1,0,0,5.96,-0.03,11960.95,%sOxidizer Fill Confirmation,,
1194,27.48,1670.84,107.18,544.73,657.9,618.3,608.93,7.24,0,0,0,0,0,1,1,0,0,5.96,-0.03,11960.98,%sOxidizer Fill Confirmation,,
1195,27.99,1670.84,107.18,544.73,657.9,618.96,608.93,7.24,0,0,0,0,0,1,1,0,0,5.96,-0.03,11961.01,%sOxidizer Fill Confirmation,,
1196,25.66,1670.84,107.18,544.73,657.9,618.96,609.65,7.28,0,0,0,0,0,1,1,0,0,5.96,-0.03,11961.03,%sOxidizer Fill Confirmation,,
1197,32.1,1670.84,107.18,544.73,657.9,618.96,609.65,7.28,0,0,0,0,0,1,1,0,0,5.97,-0.03,11961.06,%sOxidizer Fill Confirmation,,
1198,28.72,1670.89,107.18,544.7,657.9,618.96,609.65,7.28,0,0,0,0,0,1,1,0,0,5.97,-0.03,11961.09,%sOxidizer Fill Confirmation,,
1199,29.59,1670.89,107.18,544.7,658.35,619.41,609.65,7.28,0,0,0,0,0,1,1,0,0,5.97,-0.03,11961.12,%sOxidizer Fill Confirmation,,
1200,26.13,1670.89,107.18,544.7,658.35,619.41,610.37,7.28,0,0,0,0,0,1,1,0,0,5.97,-0.03,11961.15,%sOxidizer Fill Confirmation,,
1201,26.86,1670.85,107.18,544.7,658.35,619.41,610.37,7.44,0,0,0,0,0,1,1,0,0,5.99,-0.02,11961.17,%sOxidizer Fill Confirmation,,
1202,27.62,1670.85,107.1,544.7,658.35,619.41,610.37,7.44,0,0,0,0,0,1,1,0,0,5.99,-0.02,11961.2,%sOxidizer Fill Confirmation,,
1203,24.18,1670.85,107.1,544.64,658.73,619.95,610.37,7.44,0,0,0,0,0,1,1,0,0,5.99,-0.02,11961.23,%sOxidizer Fill Confirmation,,
1204,29.22,1670.85,107.1,544.64,658.73,619.95,611.13,7.65,0,0,0,0,0,1,1,0,0,5.99,-0.03,11961.26,%sOxidizer Fill Confirmation,,
1205,22.7,1670.85,107.1,544.64,658.73,619.95,611.13,7.65,0,0,0,0,0,1,1,0,0,6,-0.03,11961.28,%sOxidizer Fill Confirmation,,
1206,29.06,1670.93,107.07,544.64,658.73,619.95,611.13,7.65,0,0,0,0,0,1,1,0,0,6,-0.03,11961.31,%sOxidizer Fill Confirmation,,
1207,26.09,1670.93,107.07,544.64,659.14,620.49,611.13,7.65,0,0,0,0,0,1,1,0,0,6,-0.03,11961.33,%sOxidizer Fill Confirmation,,
1208,27.1,1670.93,107.07,544.64,659.14,620.49,611.64,7.65,0,0,0,0,0,1,1,0,0,6,-0.03,11961.36,%sOxidizer Fill Confirmation,,
1209,24.15,1670.93,107.07,544.64,659.14,620.49,611.64,7.65,0,0,0,0,0,1,1,0,0,6.01,-0.03,11961.38,%sOxidizer Fill Confirmation,,
1210,22.56,1670.93,107.08,544.64,659.14,620.49,611.64,7.65,0,0,0,0,0,1,1,0,0,6.01,-0.03,11961.41,%sOxidizer Fill Confirmation,,
1211,25.13,1670.93,107.08,544.63,659.56,621.09,611.64,7.65,0,0,0,0,0,1,1,0,0,6.01,-0.03,11961.43,%sOxidizer Fill Confirmation,,
1212,23.98,1670.93,107.08,544.63,659.56,621.09,612.3,7.67,0,0,0,0,0,1,1,0,0,6.01,-0.03,11961.46,%sOxidizer Fill Confirmation,,
1213,22.24,1670.81,107.08,544.63,659.56,621.09,612.3,7.67,0,0,0,0,0,1,1,0,0,6.02,-0.03,11961.48,%sOxidizer Fill Confirmation,,
1214,29.55,1670.81,107.07,544.63,659.56,621.09,612.3,7.67,0,0,0,0,0,1,1,0,0,6.02,-0.03,11961.51,%sOxidizer Fill Confirmation,,
1215,26.32,1670.81,107.07,544.64,660.11,621.85,612.3,7.67,0,0,0,0,0,1,1,0,0,6.02,-0.03,11961.53,%sOxidizer Fill Confirmation,,
1216,28.6,1670.81,107.07,544.64,660.11,621.85,612.93,7.65,0,0,0,0,0,1,1,0,0,6.02,-0.03,11961.56,%sOxidizer Fill Confirmation,,
1217,30.53,1670.76,107.04,544.64,660.11,621.85,612.93,7.65,0,0,0,0,0,1,1,0,0,6.04,-0.03,11961.59,%sOxidizer Fill Confirmation,,
1218,26.65,1670.76,107.04,544.68,660.59,621.85,612.93,7.65,0,0,0,0,0,1,1,0,0,6.04,-0.03,11961.62,%sOxidizer Fill Confirmation,,
1219,27.64,1670.76,107.04,544.68,660.59,622.47,613.56,7.65,0,0,0,0,0,1,1,0,0,6.04,-0.03,11961.65,%sOxidizer Fill Confirmation,,
1220,24.26,1670.76,107.04,544.68,660.59,622.47,613.56,7.73,0,0,0,0,0,1,1,0,0,6.04,-0.03,11961.67,%sOxidizer Fill Confirmation,,
1221,24.22,1670.77,106.95,544.68,660.59,622.47,613.56,7.73,0,0,0,0,0,1,1,0,0,6.05,-0.04,11961.7,%sOxidizer Fill Confirmation,,
1222,24.76,1670.77,106.95,544.65,660.97,622.47,613.56,7.73,0,0,0,0,0,1,1,0,0,6.05,-0.04,11961.72,%sOxidizer Fill Confirmation,,
1223,32.92,1670.77,106.95,544.65,660.97,623.04,613.56,7.73,0,0,0,0,0,1,1,0,0,6.05,-0.04,11961.75,%sOxidizer Fill Confirmation,,
1224,24.53,1670.77,106.95,544.65,660.97,623.04,613.99,7.72,0,0,0,0,0,1,1,0,0,6.06,-0.04,11961.78,%sOxidizer Fill Confirmation,,
1225,32.61,1670.76,106.99,544.65,660.97,623.04,613.99,7.72,0,0,0,0,0,1,1,0,0,6.06,-0.04,11961.81,%sOxidizer Fill Confirmation,,
1226,26.16,1670.76,106.99,544.65,660.97,623.04,613.99,7.72,0,0,0,0,0,1,1,0,0,6.06,-0.04,11961.84,%sOxidizer Fill Confirmation,,
1227,22.25,1670.76,106.99,544.65,661.49,623.46,614.3,7.66,0,0,0,0,0,1,1,0,0,6.06,-0.04,11961.86,%sOxidizer Fill Confirmation,,
1228,33.28,1670.76,106.99,544.65,661.49,623.46,614.3,7.66,0,0,0,0,0,1,1,0,0,6.07,-0.05,11961.89,%sOxidizer Fill Confirmation,,
1229,21.06,1670.65,107.06,544.65,661.49,623.46,614.3,7.66,0,0,0,0,0,1,1,0,0,6.07,-0.05,11961.91,%sOxidizer Fill Confirmation,,
1230,25.67,1670.65,107.06,544.68,661.95,623.99,614.3,7.66,0,0,0,0,0,1,1,0,0,6.07,-0.05,11961.94,%sOxidizer Fill Confirmation,,
1231,32.61,1670.65,107.06,544.68,661.95,623.99,614.92,7.66,0,0,0,0,0,1,1,0,0,6.07,-0.05,11961.97,%sOxidizer Fill Confirmation,,
1232,28.66,1670.65,107.06,544.68,661.95,623.99,614.92,7.79,0,0,0,0,0,1,1,0,0,6.08,-0.05,11962,%sOxidizer Fill Confirmation,,
1233,25.71,1670.82,107.15,544.68,661.95,623.99,614.92,7.79,0,0,0,0,0,1,1,0,0,6.08,-0.05,11962.03,%sOxidizer Fill Confirmation,,
1234,27.42,1670.82,107.15,544.66,661.95,623.99,614.92,7.79,0,0,0,0,0,1,1,0,0,6.08,-0.05,11962.05,%sOxidizer Fill Confirmation,,
1235,24.61,1670.82,107.15,544.66,662.25,624.26,615.17,7.87,0,0,0,0,0,1,1,0,0,6.08,-0.05,11962.08,%sOxidizer Fill Confirmation,,
1236,28.06,1670.82,107.15,544.66,662.25,624.26,615.17,7.87,0,0,0,0,0,1,1,0,0,6.1,-0.05,11962.11,%sOxidizer Fill Confirmation,,
1237,25.36,1670.92,107.1,544.66,662.25,624.26,615.17,7.87,0,0,0,0,0,1,1,0,0,6.1,-0.05,11962.13,%sOxidizer Fill Confirmation,,
1238,27.11,1670.92,107.1,544.63,662.64,624.53,615.17,7.87,0,0,0,0,0,1,1,0,0,6.1,-0.05,11962.16,%sOxidizer Fill Confirmation,,
1239,24.05,1670.92,107.1,544.63,662.64,624.53,615.37,7.66,0,0,0,0,0,1,1,0,0,6.1,-0.05,11962.18,%sOxidizer Fill Confirmation,,
1240,30.44,1670.92,107.1,544.63,662.64,624.53,615.37,7.66,0,0,0,0,0,1,1,0,0,6.11,-0.05,11962.21,%sOxidizer Fill Confirmation,,
1241,29.11,1671.04,107.14,544.68,663.05,624.53,615.37,7.66,0,0,0,0,0,1,1,0,0,6.11,-0.05,11962.24,%sOxidizer Fill Confirmation,,
1242,28.75,1671.04,107.14,544.68,663.05,624.94,615.37,7.66,0,0,0,0,0,1,1,0,0,6.11,-0.05,11962.27,%sOxidizer Fill Confirmation,,
1243,23.02,1671.04,107.14,544.68,663.05,624.94,615.75,7.66,0,0,0,0,0,1,1,0,0,6.11,-0.05,11962.29,%sOxidizer Fill Confirmation,,
1244,23.88,1671.04,107.14,544.68,663.05,624.94,615.75,7.51,0,0,0,0,0,1,1,0,0,6.12,-0.05,11962.32,%sOxidizer Fill Confirmation,,
1245,26.37,1671.12,107.27,544.68,663.05,624.94,615.75,7.51,0,0,0,0,0,1,1,0,0,6.12,-0.05,11962.34,%sOxidizer Fill Confirmation,,
1246,29.5,1671.12,107.27,544.68,663.39,625.32,615.75,7.51,0,0,0,0,0,1,1,0,0,6.12,-0.05,11962.37,%sOxidizer Fill Confirmation,,
1247,23.68,1671.12,107.27,544.68,663.39,625.32,616.18,7.55,0,0,0,0,0,1,1,0,0,6.12,-0.05,11962.4,%sOxidizer Fill Confirmation,,
1248,24.02,1671.06,107.23,544.68,663.39,625.32,616.18,7.55,0,0,0,0,0,1,1,0,0,6.13,-0.05,11962.42,%sOxidizer Fill Confirmation,,
1249,26.18,1671.06,107.23,544.64,663.79,625.32,616.18,7.55,0,0,0,0,0,1,1,0,0,6.13,-0.05,11962.45,%sOxidizer Fill Confirmation,,
1250,23.04,1671.06,107.23,544.64,663.79,625.68,616.18,7.55,0,0,0,0,0,1,1,0,0,6.13,-0.05,11962.47,%sOxidizer Fill Confirmation,,
1251,22.89,1671.06,107.23,544.64,663.79,625.68,616.51,7.55,0,0,0,0,0,1,1,0,0,6.13,-0.05,11962.49,%sOxidizer Fill Confirmation,,
1252,25.58,1671.12,107.22,544.64,663.79,625.68,616.51,7.6,0,0,0,0,0,1,1,0,0,6.15,-0.04,11962.52,%sOxidizer Fill Confirmation,,
1253,28.1,1671.12,107.22,544.63,664.12,625.68,616.51,7.6,0,0,0,0,0,1,1,0,0,6.15,-0.04,11962.55,%sOxidizer Fill Confirmation,,
1254,26.14,1671.12,107.22,544.63,664.12,625.96,616.51,7.6,0,0,0,0,0,1,1,0,0,6.15,-0.04,11962.57,%sOxidizer Fill Confirmation,,
1255,23.75,1671.12,107.22,544.63,664.12,625.96,616.68,7.59,0,0,0,0,0,1,1,0,0,6.15,-0.04,11962.6,%sOxidizer Fill Confirmation,,
1256,27.89,1671.03,107.18,544.63,664.12,625.96,616.68,7.59,0,0,0,0,0,1,1,0,0,6.16,-0.04,11962.63,%sOxidizer Fill Confirmation,,
1257,27.63,1671.03,107.18,544.59,664.44,625.96,616.68,7.59,0,0,0,0,0,1,1,0,0,6.16,-0.04,11962.65,%sOxidizer Fill Confirmation,,
1258,23.14,1671.03,107.18,544.59,664.44,626.39,616.93,7.59,0,0,0,0,0,1,1,0,0,6.16,-0.04,11962.68,%sOxidizer Fill Confirmation,,
1259,23.17,1670.97,107.18,544.59,664.44,626.39,616.93,7.57,0,0,0,0,0,1,1,0,0,6.17,-0.04,11962.7,%sOxidizer Fill Confirmation,,
1260,27.01,1670.97,107.18,544.61,664.44,626.39,616.93,7.57,0,0,0,0,0,1,1,0,0,6.17,-0.04,11962.73,%sOxidizer Fill Confirmation,,
1261,27.1,1670.97,107.18,544.61,664.44,626.39,616.93,7.57,0,0,0,0,0,1,1,0,0,6.17,-0.04,11962.75,%sOxidizer Fill Confirmation,,
1262,21.95,1670.97,107.18,544.61,664.87,626.79,616.93,7.57,0,0,0,0,0,1,1,0,0,6.17,-0.04,11962.78,%sOxidizer Fill Confirmation,,
1263,25.45,1670.97,107.18,544.61,664.87,626.79,617.45,7.55,0,0,0,0,0,1,1,0,0,6.17,-0.04,11962.8,%sOxidizer Fill Confirmation,,
1264,25.5,1671.04,107.17,544.61,664.87,626.79,617.45,7.55,0,0,0,0,0,1,1,0,0,6.18,-0.04,11962.83,%sOxidizer Fill Confirmation,,
1265,26.63,1671.04,107.17,544.61,664.87,626.79,617.45,7.55,0,0,0,0,0,1,1,0,0,6.18,-0.04,11962.85,%sOxidizer Fill Confirmation,,
1266,24.83,1671.04,107.17,544.61,665.29,627.08,617.45,7.55,0,0,0,0,0,1,1,0,0,6.18,-0.04,11962.88,%sOxidizer Fill Confirmation,,
1267,26.77,1671.04,107.17,544.61,665.29,627.08,618.01,7.65,0,0,0,0,0,1,1,0,0,6.19,-0.03,11962.9,%sOxidizer Fill Confirmation,,
1268,25.56,1671.2,107.09,544.61,665.29,627.08,618.01,7.65,0,0,0,0,0,1,1,0,0,6.19,-0.03,11962.93,%sOxidizer Fill Confirmation,,
1269,26.32,1671.2,107.09,544.63,665.29,627.08,618.01,7.65,0,0,0,0,0,1,1,0,0,6.19,-0.03,11962.96,%sOxidizer Fill Confirmation,,
1270,25,1671.2,107.09,544.63,665.71,627.65,618.43,7.6,0,0,0,0,0,1,1,0,0,6.19,-0.03,11962.98,%sOxidizer Fill Confirmation,,
1271,25.22,1671.16,107.09,544.63,665.71,627.65,618.43,7.6,0,0,0,0,0,1,1,0,0,6.21,-0.03,11963.01,%sOxidizer Fill Confirmation,,
1272,25.47,1671.16,107.07,544.63,665.71,627.65,618.43,7.6,0,0,0,0,0,1,1,0,0,6.21,-0.03,11963.03,%sOxidizer Fill Confirmation,,
